id,title,schedule_type,trainer_id,hall_id,start_time,duration_minutes,max_capacity,reserve_slots,is_active,created_at,updated_at,day_of_week,sessions_cost,group_id
1c4883cf-49be-4191-bcad-7053b4b87901,Exotic (Level 1),group,959d0d81-2165-42bb-961c-45e6957fdcf8,fd96e391-d7ef-4b20-8d45-97156b04e122,20:00:00,60,10,0,true,2026-04-18 16:31:33.343635+00,2026-04-18 16:31:33.343635+00,4,1,null
aa337044-bdd8-4600-a7e2-03e0876e213b,Exotic (Level 3),group,868d323b-5284-414a-bfb4-8524ca8e8d5e,fd96e391-d7ef-4b20-8d45-97156b04e122,18:00:00,60,10,0,true,2026-04-18 16:31:57.237023+00,2026-04-18 16:31:57.237023+00,5,1,null
07b4f981-4061-405f-9a99-609aac8102d9,Exotic (Level 2),group,868d323b-5284-414a-bfb4-8524ca8e8d5e,fd96e391-d7ef-4b20-8d45-97156b04e122,15:00:00,60,10,0,true,2026-04-18 16:32:14.692547+00,2026-04-18 16:32:14.692547+00,1,1,null
98a7c6fb-a21a-4ad0-a625-51042ae2d838,Exotic (Level 2),group,868d323b-5284-414a-bfb4-8524ca8e8d5e,fd96e391-d7ef-4b20-8d45-97156b04e122,15:00:00,60,10,0,true,2026-04-18 16:32:24.083205+00,2026-04-18 16:32:24.083205+00,3,1,null
b49d05f7-5dae-4a42-8b21-9bd54c6aa2f5,Exotic (Level 1),group,868d323b-5284-414a-bfb4-8524ca8e8d5e,fd96e391-d7ef-4b20-8d45-97156b04e122,11:00:00,60,10,0,true,2026-04-18 16:32:34.409838+00,2026-04-18 16:32:34.409838+00,2,1,null
ddeeef17-32d3-4a9f-abbc-0fffa212fbe9,Exotic (Level 1),group,868d323b-5284-414a-bfb4-8524ca8e8d5e,fd96e391-d7ef-4b20-8d45-97156b04e122,11:00:00,60,10,0,true,2026-04-18 16:32:43.345418+00,2026-04-18 16:32:43.345418+00,4,1,null
5cf91348-cdfe-4bb8-8533-722c42782ee0,Exotic (Level 2),group,c47d750c-fa9d-49f6-b7ba-0a471110c290,fd96e391-d7ef-4b20-8d45-97156b04e122,20:00:00,60,10,0,true,2026-04-18 16:33:18.337221+00,2026-04-18 16:33:18.337221+00,1,1,null
cc085fd0-e60b-4491-9c8a-b54bd5f204c9,Exotic (Level 2),group,c47d750c-fa9d-49f6-b7ba-0a471110c290,fd96e391-d7ef-4b20-8d45-97156b04e122,20:00:00,60,10,0,true,2026-04-18 16:33:26.278612+00,2026-04-18 16:33:26.278612+00,3,1,null
49a328c4-6ff3-4f1c-a8b7-fb6197199078,Exotic (Level 3),group,c47d750c-fa9d-49f6-b7ba-0a471110c290,fd96e391-d7ef-4b20-8d45-97156b04e122,13:00:00,60,10,0,true,2026-04-18 16:33:48.473497+00,2026-04-18 16:33:48.473497+00,4,1,null
d3b98798-ce25-4c8b-bc3c-801d265424e4,Exotic (Level 2),group,c47d750c-fa9d-49f6-b7ba-0a471110c290,fd96e391-d7ef-4b20-8d45-97156b04e122,17:00:00,60,10,0,true,2026-04-18 16:33:58.848731+00,2026-04-18 16:33:58.848731+00,2,1,null
